,strike,lastPrice,volume,impliedVolatility,maturity,type
20,220.0,2.89,793.0,0.0312596875,86,put
11,180.0,0.27,437.0,0.12500875,114,put
13,190.0,0.49,3185.0,0.12500875,114,put
15,200.0,0.97,1488.0,0.062509375,114,put
17,210.0,2.13,4455.0,0.062509375,114,put
18,215.0,3.05,489.0,0.0312596875,114,put
11,70.0,0.01,850.0,0.500005,149,put
26,145.0,0.09,484.0,0.2500075,149,put
35,190.0,0.79,743.0,0.12500875,149,put
36,195.0,1.09,798.0,0.062509375,149,put
37,200.0,1.49,963.0,0.062509375,149,put
38,205.0,2.05,433.0,0.062509375,149,put
39,210.0,2.85,2690.0,0.0312596875,149,put
40,215.0,4.06,655.0,0.0312596875,149,put
41,220.0,5.4,1469.0,0.015634843750000002,149,put
30,190.0,1.4,642.0,0.062509375,177,put
32,200.0,2.36,744.0,0.062509375,177,put
36,220.0,6.85,636.0,0.015634843750000002,177,put
16,85.0,0.04,1823.0,0.2500075,204,put
25,130.0,0.12,512.0,0.2500075,204,put
26,135.0,0.15,448.0,0.2500075,204,put
33,170.0,0.68,409.0,0.12500875,204,put
42,215.0,6.25,1538.0,0.015634843750000002,204,put
43,220.0,7.75,432.0,0.015634843750000002,204,put
32,185.0,4.39,1021.0,0.062509375,450,put
37,210.0,9.8,402.0,0.015634843750000002,450,put
